Convert Id,Lead ID,Company ID,Customer ID,Deal ID,Lead Creation Date,Converted Time,Converted By Id
zcrm_1920545000000432071,zcrm_1920545000000432049,zcrm_1920545000000432053,zcrm_1920545000000432055,zcrm_1920545000000432057,2016-10-07 15:24:20,2016-10-07 16:24:53,zcrm_1920545000000240001
zcrm_1920545000000432095,zcrm_1920545000000432073,zcrm_1920545000000432077,zcrm_1920545000000432079,zcrm_1920545000000432081,2016-10-07 15:28:04,2016-10-07 16:29:31,zcrm_1920545000000240001
zcrm_1920545000000432119,zcrm_1920545000000432097,zcrm_1920545000000432101,zcrm_1920545000000432103,zcrm_1920545000000432105,2016-10-07 15:33:35,2016-10-07 16:34:01,zcrm_1920545000000240001
zcrm_1920545000000432143,zcrm_1920545000000432121,zcrm_1920545000000432125,zcrm_1920545000000432127,zcrm_1920545000000432129,2016-10-07 15:51:05,2016-10-07 16:51:32,zcrm_1920545000000240001
zcrm_1920545000000432167,zcrm_1920545000000432145,zcrm_1920545000000432149,zcrm_1920545000000432151,zcrm_1920545000000432153,2016-10-07 18:31:55,2016-10-07 19:32:30,zcrm_1920545000000240001
zcrm_1920545000000432191,zcrm_1920545000000432169,zcrm_1920545000000432173,zcrm_1920545000000432175,zcrm_1920545000000432177,2016-10-07 18:37:45,2016-10-07 19:38:16,zcrm_1920545000000240001
zcrm_1920545000000435029,zcrm_1920545000000435007,zcrm_1920545000000435011,zcrm_1920545000000435013,zcrm_1920545000000435015,2016-10-14 21:46:03,2016-10-14 22:47:05,zcrm_1920545000000243011
zcrm_1920545000000435049,zcrm_1920545000000435003,zcrm_1920545000000435031,zcrm_1920545000000435033,zcrm_1920545000000435035,2016-10-14 21:30:37,2016-10-14 22:48:02,zcrm_1920545000000243011
zcrm_1920545000000435077,zcrm_1920545000000435055,zcrm_1920545000000435059,zcrm_1920545000000435061,zcrm_1920545000000435063,2016-10-14 22:22:18,2016-10-14 23:22:54,zcrm_1920545000000243011
zcrm_1920545000000435097,zcrm_1920545000000435051,zcrm_1920545000000435079,zcrm_1920545000000435081,zcrm_1920545000000435083,2016-10-14 22:12:40,2016-10-14 23:23:52,zcrm_1920545000000243011
zcrm_1920545000000435121,zcrm_1920545000000435099,zcrm_1920545000000435103,zcrm_1920545000000435105,zcrm_1920545000000435107,2016-10-14 22:46:42,2016-10-14 23:47:25,zcrm_1920545000000243011
