Company_Name,Category,Address,Url,Latitude,Longitude,Territory
Legship Bazar,Gym,"NH510, Legship, Sikkim 737111, India",https://www.google.co.kr/maps/place/Legship+Bazar/data=!4m5!3m4!1s0x39e68564b9620365:0x1aa7ae3361e8675!8m2!3d27.279764!4d88.2751525?authuser=0&hl=en&rclk=1,27.279764,88.2751525,Sikkim
Cutting Edge Hair Salon,Gym,"Singtam - Chungthang Rd, Ranipool, Sikkim 737135, India",https://www.google.co.kr/maps/place/Cutting+Edge+Hair+Salon/data=!4m5!3m4!1s0x39e6a44b9298d719:0x1805ea3297cdd2ef!8m2!3d27.2891886!4d88.5916377?authuser=0&hl=en&rclk=1,27.2891886,88.5916377,Sikkim
vetenary ground,Gym,"5965+99J, Namchi, Sikkim 737126, India",https://www.google.co.kr/maps/place/vetenary+ground/data=!4m5!3m4!1s0x39e4278128353ded:0x24a079c6bf886ef2!8m2!3d27.1609524!4d88.3583898?authuser=0&hl=en&rclk=1,27.1609524,88.3583898,Sikkim
Total fitness,Gymnasium Cz,"parking, Development area, beside GMC, Gangtok, Sikkim 737101, India",https://www.google.co.kr/maps/place/Total+fitness/data=!4m5!3m4!1s0x39e6a5e4c157ffb7:0x9f40dee95196172e!8m2!3d27.3361432!4d88.6131053?authuser=0&hl=en&rclk=1,27.3361432,88.6131053,Sikkim
"Pepthang Dawadi Gaon, Lingmoo Pepthang South Sikkim",Gym,"737134, Lingmoo - Kolthang Road, Pepthang, Sikkim 737139, India","https://www.google.co.kr/maps/place/Pepthang+Dawadi+Gaon,+Lingmoo+Pepthang+South+Sikkim/data=!4m5!3m4!1s0x39e6980310f7c4e1:0x4b7f36155b558653!8m2!3d27.3495195!4d88.4711154?authuser=0&hl=en&rclk=1",27.3495195,88.4711154,Sikkim
NHPC FOOTBALL GROUND,Gym,"6FX5+QX3, Sikkim 737134, India",https://www.google.co.kr/maps/place/NHPC+FOOTBALL+GROUND/data=!4m5!3m4!1s0x39e69f48271e87b9:0x2cf25b92832b0a34!8m2!3d27.2493763!4d88.4599088?authuser=0&hl=en&rclk=1,27.2493763,88.4599088,Sikkim
Mad Over Fitness Gym Kalimpong,Gym,"Shahid Dal Bahadur Giri Rd, Chotta Bhalukhop, Kalimpong, West Bengal 734301, India",https://www.google.co.kr/maps/place/Mad+Over+Fitness+Gym+Kalimpong/data=!4m5!3m4!1s0x39e423a74ce85d37:0x9828ea99da71866c!8m2!3d27.0704272!4d88.472027?authuser=0&hl=en&rclk=1,27.0704272,88.472027,Sikkim
"Community Hall, Mela Ground",Gym,"Rhenock - Rongli Hwy, Rongli, Sikkim 737133, India","https://www.google.co.kr/maps/place/Community+Hall,+Mela+Ground/data=!4m5!3m4!1s0x39e6a99a11b5bfdb:0xda670579837032f8!8m2!3d27.2036265!4d88.6972149?authuser=0&hl=en&rclk=1",27.2036265,88.6972149,Sikkim
Khedi Trekkers Huts,Gym,"8P52+HXP, Latuk, Sikkim 737135, India",https://www.google.co.kr/maps/place/Khedi+Trekkers+Huts/data=!4m5!3m4!1s0x39e6ae7d5e1adee9:0x6d15454d74186cb6!8m2!3d27.3089613!4d88.7024401?authuser=0&hl=en&rclk=1,27.3089613,88.7024401,Sikkim
Yumesodong Hot Spring,Gym,"WM9V+3M3, Yumesodong, Sikkim 737120, India",https://www.google.co.kr/maps/place/Yumesodong+Hot+Spring/data=!4m5!3m4!1s0x39e6d75fad6d6fb3:0x23315d46d10915f2!8m2!3d27.9176347!4d88.6941692?authuser=0&hl=en&rclk=1,27.9176347,88.6941692,Sikkim
"Indoor Gymnasium Hall (Badminton, Table Tennis & Basketball)",Gym,"8JM6+7VR, Arithang, Gangtok, Sikkim 737101, India","https://www.google.co.kr/maps/place/Indoor+Gymnasium+Hall+(Badminton,+Table+Tennis+%26+Basketball)/data=!4m5!3m4!1s0x39e6a5a0e71fe24f:0xc4fc5b23bf6a0bed!8m2!3d27.3332352!4d88.6121422?authuser=0&hl=en&rclk=1",27.3332352,88.6121422,Sikkim
Hamsa Yoga Shala,Yoga studio,"NH10, Deorali Bazar, Gangtok, Sikkim 737102, India",https://www.google.co.kr/maps/place/Hamsa+Yoga+Shala/data=!4m5!3m4!1s0x39e6a5a0937f16cd:0x8b2ae87c380490ac!8m2!3d27.3209738!4d88.6061079?authuser=0&hl=en&rclk=1,27.3209738,88.6061079,Sikkim
TTL Creative Studio and Pro-Fitness,Gym,"Bhalu Marg, Paiyong Khasmahal, West Bengal 734316, India",https://www.google.co.kr/maps/place/TTL+Creative+Studio+and+Pro-Fitness/data=!4m5!3m4!1s0x39e41f40abf35b99:0x97636ddf96e8073b!8m2!3d27.104807!4d88.552381?authuser=0&hl=en&rclk=1,27.104807,88.552381,Sikkim
Parakha Advantur Hub,Gym,"Machong Rd, Sikkim 737106, India",https://www.google.co.kr/maps/place/Parakha+Advantur+Hub/data=!4m5!3m4!1s0x39e6a89836ac2351:0xe24efa28de3ded2f!8m2!3d27.2350088!4d88.6425099?authuser=0&hl=en&rclk=1,27.2350088,88.6425099,Sikkim
Suraj Bike Repaire Shop,Gym,"8th mile, Geyzing, Sikkim 737111, India",https://www.google.co.kr/maps/place/Suraj+Bike+Repaire+Shop/data=!4m5!3m4!1s0x39e685a583ca72ed:0x792ab2aba42500d9!8m2!3d27.2853171!4d88.2585657?authuser=0&hl=en&rclk=1,27.2853171,88.2585657,Sikkim
Fit and fine gym,Gym,"3FHP+2F5, Rajadhara, Kalimpong, West Bengal 734316, India",https://www.google.co.kr/maps/place/Fit+and+fine+gym/data=!4m5!3m4!1s0x39e41f555b011eb9:0x3534357183f66f38!8m2!3d27.0775183!4d88.4862474?authuser=0&hl=en&rclk=1,27.0775183,88.4862474,Sikkim
