,Year,Month,Client,Region,Category,Net,Industry Fin
302,2018,July,Nutri Essence,West 2,Fitness,17857.14,Fitness
303,2018,July,K D Hospital,West 2,Medical,1026785.71,Hospital
304,2018,July,Star International (Anytime Fitness),North,Fitness,410711.82,Fitness
305,2018,July,Aditya Birla Memorial Hospital,West 1,Medical,5977.6,Hospital
306,2018,July,Pradnya Sonawane,West 1,Nutrition,174093.74,Clinic
307,2018,July,Beyond Fitness,East,Fitness,178568.75,Fitness
308,2018,July,Zest Fitness Studio,South,Fitness,17839.29,Fitness
309,2018,July,Ambika Enterprises,West 1,Corporate,357137.0,Others_Others Corporate
310,2018,July,Athlecross Fitness & Wellness LLP,West 2,Fitness,535721.43,Fitness
311,2018,August,Gap Global Exim LLP,North,Corporate,205352.86,Fitness
312,2018,August,Raw House Fitness,North,Fitness,205352.86,Fitness
313,2018,August,Cardiac Diagnostic & Services Pvt Ltd,South,Medical,348214.29,Hospital
314,2018,August,Elite Fitness & Entertainment Pvt Ltd,North,Fitness,57700.0,Fitness
315,2018,August,IFIM Institutions,South,Education,223214.29,Academic
316,2018,August,Knockout Fitness Pvt Ltd,East,Fitness,12946.43,Fitness
317,2018,August,Nutri Essence,West 2,Nutrition,10714.29,Clinic
318,2018,August,Manipal Hospital Delhi,North,Medical,1449400.0,Hospital
319,2018,August,Jumpstart Ventures,North,Corporate,205650.0,Fitness
320,2018,August,Panjatan Khan,West 1,Amazon,17839.29,Others_etc
321,2018,August,Praba's Vcare Health Clinic Pvt Ltd,South,Medical,16517.86,Hospital
322,2018,August,Aaditya Marketing And Trading Co,West 2,Corporate,379500.0,Others_Others Corporate
323,2018,August,The Cloud Nine Fitness Club,West 1,Fitness,160714.28,Fitness
324,2018,August,Niti Desai,West 1,Nutrition,174107.14,Clinic
325,2018,August,National Institute Of Nutrition,South,Research,626785.71,Public Association
326,2018,August,National Institute Of Nutrition,South,Research,0.0,Public Association
327,2018,August,National Institute Of Nutrition,South,Research,0.0,Public Association
328,2018,August,Kaya Limited,North,Nutrition,495525.0,Clinic
329,2018,August,Krishna Garments,East,Corporate,178568.75,Fitness
330,2018,August,Sairam Namma Ventures,South,Corporate,437496.52,Others_Others Corporate
331,2018,August,Debkumar Biswas,East,Amazon,17839.29,Others_etc
332,2018,August,Onyx Enterprises,West 2,Corporate,30356.89,Others_Others Corporate
333,2018,August,Onyx Enterprises,West 2,Corporate,0.0,Others_Others Corporate
334,2018,August,G Sudarshan Rupa Sravani,South,Amazon,17839.29,Others_etc
335,2018,August,VLCC Healthcare Ltd,South,Nutrition,25000.0,Clinic
336,2018,August,The Planet Fitness,East,Fitness,12946.43,Fitness
337,2018,August,Belle Vue Clinic,East,Medical,379500.0,Hospital
338,2018,August,Rajput Enterprises,East,Corporate,357136.21,Others_Others Corporate
339,2018,August,Sultania Wellness Hub,East,Wellness,200892.86,Fitness
340,2018,August,DNG Fitness,East,Fitness,196428.04,Fitness
341,2018,August,Lalan Kumar,East,Amazon,17839.29,Others_etc
342,2018,August,Aabhishek Kamal Kumar,West 1,Amazon,17865.68,Others_etc
343,2018,September,Befastfit,North,Fitness,401700.0,Fitness
344,2018,September,CDN Vision,North,Medical,402960.0,Hospital
345,2018,September,Jarma Wellness LLP,West 1,Wellness,21428.58,Hospital
346,2018,September,Jarma Wellness LLP,West 1,Wellness,0.0,Hospital
347,2018,September,Jarma Wellness LLP,West 1,Wellness,0.0,Hospital
348,2018,September,A A Fitness Studio,North,Fitness,419646.39,Fitness
349,2018,September,Zorba Renaissance Pvt Ltd,West 1,Corporate,205312.5,Fitness
350,2018,September,HeroMoto Corp,North,Corporate,424995.2,Others_Others Corporate
351,2018,September,Shivshakti Fitness,North,Fitness,205352.86,Fitness
