Member Id,Campaign ID,Customer ID,Member Status
zcrm_1920545000018737406,zcrm_1920545000012080061,zcrm_1920545000018737396,Planned
zcrm_1920545000018737421,zcrm_1920545000012080061,zcrm_1920545000018737411,Planned
zcrm_1920545000018737436,zcrm_1920545000012080061,zcrm_1920545000018737426,Planned
zcrm_1920545000018737451,zcrm_1920545000012080061,zcrm_1920545000018737441,Planned
zcrm_1920545000018737466,zcrm_1920545000012080061,zcrm_1920545000018737456,Planned
zcrm_1920545000018737481,zcrm_1920545000012080061,zcrm_1920545000018737471,Planned
zcrm_1920545000018737496,zcrm_1920545000012080061,zcrm_1920545000018737486,Planned
zcrm_1920545000018737511,zcrm_1920545000012080061,zcrm_1920545000018737501,Planned
zcrm_1920545000018737526,zcrm_1920545000012080061,zcrm_1920545000018737516,Planned
zcrm_1920545000018737551,zcrm_1920545000012080061,zcrm_1920545000018737541,Planned
zcrm_1920545000018737566,zcrm_1920545000012080061,zcrm_1920545000018737556,Planned
zcrm_1920545000018737581,zcrm_1920545000012080061,zcrm_1920545000018737571,Planned
zcrm_1920545000018737596,zcrm_1920545000012080061,zcrm_1920545000018737586,Planned
zcrm_1920545000018737611,zcrm_1920545000012080061,zcrm_1920545000018737601,Planned
zcrm_1920545000018737626,zcrm_1920545000012080061,zcrm_1920545000018737616,Planned
zcrm_1920545000018737639,zcrm_1920545000012080061,zcrm_1920545000018737631,Planned
zcrm_1920545000018737654,zcrm_1920545000012080061,zcrm_1920545000018737644,Planned
zcrm_1920545000018737679,zcrm_1920545000012080061,zcrm_1920545000018737669,Planned
zcrm_1920545000018737694,zcrm_1920545000012080061,zcrm_1920545000018737684,Planned
zcrm_1920545000018737709,zcrm_1920545000012080061,zcrm_1920545000018737699,Planned
zcrm_1920545000018737724,zcrm_1920545000012080061,zcrm_1920545000018737714,Planned
zcrm_1920545000018737739,zcrm_1920545000012080061,zcrm_1920545000018737729,Planned
zcrm_1920545000018737754,zcrm_1920545000012080061,zcrm_1920545000018737744,Planned
zcrm_1920545000018737769,zcrm_1920545000012080061,zcrm_1920545000018737759,Planned
zcrm_1920545000018737784,zcrm_1920545000012080061,zcrm_1920545000018737774,Planned
zcrm_1920545000018737799,zcrm_1920545000012080061,zcrm_1920545000018737789,Planned
zcrm_1920545000018737814,zcrm_1920545000012080061,zcrm_1920545000018737804,Planned
zcrm_1920545000018737829,zcrm_1920545000012080061,zcrm_1920545000018737819,Planned
zcrm_1920545000018737842,zcrm_1920545000012080061,zcrm_1920545000018737834,Planned
zcrm_1920545000018737857,zcrm_1920545000012080061,zcrm_1920545000018737847,Planned
zcrm_1920545000018737872,zcrm_1920545000012080061,zcrm_1920545000018737862,Planned
zcrm_1920545000018737887,zcrm_1920545000012080061,zcrm_1920545000018737877,Planned
zcrm_1920545000018737902,zcrm_1920545000012080061,zcrm_1920545000018737892,Planned
zcrm_1920545000018737917,zcrm_1920545000012080061,zcrm_1920545000018737907,Planned
zcrm_1920545000018737932,zcrm_1920545000012080061,zcrm_1920545000018737922,Planned
zcrm_1920545000018737947,zcrm_1920545000012080061,zcrm_1920545000018737937,Planned
zcrm_1920545000018737962,zcrm_1920545000012080061,zcrm_1920545000018737952,Planned
zcrm_1920545000018737977,zcrm_1920545000012080061,zcrm_1920545000018737967,Planned
zcrm_1920545000018737992,zcrm_1920545000012080061,zcrm_1920545000018737982,Planned
zcrm_1920545000018742007,zcrm_1920545000012080061,zcrm_1920545000018737997,Planned
zcrm_1920545000018742022,zcrm_1920545000012080061,zcrm_1920545000018742012,Planned
zcrm_1920545000018742037,zcrm_1920545000012080061,zcrm_1920545000018742027,Planned
zcrm_1920545000021890082,zcrm_1920545000002464039,zcrm_1920545000021890067,Sent
zcrm_1920545000022150101,zcrm_1920545000022150053,zcrm_1920545000016056132,Responded
zcrm_1920545000022204830,zcrm_1920545000022150105,zcrm_1920545000019477017,Responded
zcrm_1920545000022512012,zcrm_1920545000022037071,zcrm_1920545000022512005,Planned
zcrm_1920545000023619033,zcrm_1920545000023259001,zcrm_1920545000023619017,Planned
zcrm_1920545000023681027,zcrm_1920545000023259001,zcrm_1920545000023681013,Planned
zcrm_1920545000023813195,zcrm_1920545000023259001,zcrm_1920545000023813189,Planned
