Record Id,Product Owner ID,Product Name,Product Code,Vendor ID,Product Active,Manufacturer,Product Category,Sales Start Date,Sales End Date,Support Start Date,Support End Date,Created by ID,Modified by ID,Created Time,Modified Time,Unit Price,Commission Rate,Tax,Usage Unit,Qty Ordered,Quantity in Stock,Reorder Level,Handler Id,Quantity in Demand,Description,Taxable,Currency,Exchange Rate,Layout ID,Tag,Product Image,User Modified Time,System Related Activity Time,User Related Activity Time,System Modified Time
zcrm_1920545000006882704,zcrm_1920545000000097003,USB Stick San disk,,,true,,,,,,,zcrm_1920545000000097003,zcrm_1920545000000097003,2018-05-08 12:45:38,2019-11-11 22:24:22,0.0,0.0,,Each,0.0,0.0,0.0,,0.0,,true,INR,1.000000000,,,,,,,2019-11-11 22:24:22
zcrm_1920545000006882705,zcrm_1920545000000097003,[Ass'y] Hand 120,,,true,,,,,,,zcrm_1920545000000097003,zcrm_1920545000000097003,2018-05-08 12:45:38,2018-05-08 12:45:38,33600.0,0.0,,Each,0.0,0.0,0.0,,0.0,,true,INR,1.000000000,,,,,,,
zcrm_1920545000006882706,zcrm_1920545000000097003,[Ass'y] Hand L 770,,,true,,,,,,,zcrm_1920545000000097003,zcrm_1920545000000097003,2018-05-08 12:45:38,2019-11-11 22:24:22,17400.0,0.0,,Each,0.0,0.0,0.0,,0.0,,true,INR,1.000000000,,,,,,,2019-11-11 22:24:22
zcrm_1920545000006882707,zcrm_1920545000000097003,[Ass'y] Hand R 770,,,true,,,,,,,zcrm_1920545000000097003,zcrm_1920545000000097003,2018-05-08 12:45:38,2019-11-11 22:24:22,17400.0,0.0,,Each,0.0,0.0,0.0,,0.0,,true,INR,1.000000000,,,,,,,2019-11-11 22:24:22
zcrm_1920545000006882708,zcrm_1920545000000097003,[Assy] Hand 230 L,,,true,,,,,,,zcrm_1920545000000097003,zcrm_1920545000000097003,2018-05-08 12:45:38,2018-05-08 12:45:38,30000.0,0.0,,Each,0.0,0.0,0.0,,0.0,,true,INR,1.000000000,,,,,,,
zcrm_1920545000006882709,zcrm_1920545000000097003,[Assy] Hand 230 R,,,true,,,,,,,zcrm_1920545000000097003,zcrm_1920545000000097003,2018-05-08 12:45:38,2018-05-08 12:45:38,30000.0,0.0,,Each,0.0,0.0,0.0,,0.0,,true,INR,1.000000000,,,,,,,
zcrm_1920545000006882710,zcrm_1920545000000097003,[Assy]Strap InBody Band_M_Midnight Black,,,true,,,,,,,zcrm_1920545000000097003,zcrm_1920545000000097003,2018-05-08 12:45:38,2019-11-11 22:24:22,500.0,0.0,,Box,0.0,0.0,0.0,,0.0,,true,INR,1.000000000,,,,,,,2019-11-11 22:24:22
zcrm_1920545000006882711,zcrm_1920545000000097003,[Assy]Strap InBody Band_M_Red Wine,,,true,,,,,,,zcrm_1920545000000097003,zcrm_1920545000000097003,2018-05-08 12:45:38,2019-11-11 22:24:22,500.0,0.0,,Box,0.0,0.0,0.0,,0.0,,true,INR,1.000000000,,,,,,,2019-11-11 22:24:22
zcrm_1920545000006882712,zcrm_1920545000000097003,[Assy]Strap InBody Band_M_Stone Grey,,,true,,,,,,,zcrm_1920545000000097003,zcrm_1920545000000097003,2018-05-08 12:45:38,2019-11-11 22:24:22,500.0,0.0,,Box,0.0,0.0,0.0,,0.0,,true,INR,1.000000000,,,,,,,2019-11-11 22:24:22
zcrm_1920545000006882713,zcrm_1920545000000097003,[Assy]Strap InBody Band_S_Midnight Black,,,true,,,,,,,zcrm_1920545000000097003,zcrm_1920545000000097003,2018-05-08 12:45:38,2019-11-11 22:24:22,500.0,0.0,,Box,0.0,0.0,0.0,,0.0,,true,INR,1.000000000,,,,,,,2019-11-11 22:24:22
zcrm_1920545000006882714,zcrm_1920545000000097003,[Assy]Strap InBody Band_S_Red Wine,,,true,,,,,,,zcrm_1920545000000097003,zcrm_1920545000000097003,2018-05-08 12:45:38,2019-11-11 22:24:22,500.0,0.0,,Box,0.0,0.0,0.0,,0.0,,true,INR,1.000000000,,,,,,,2019-11-11 22:24:22
zcrm_1920545000006882715,zcrm_1920545000000097003,[Assy]Strap InBody Band_S_Stone Grey,,,true,,,,,,,zcrm_1920545000000097003,zcrm_1920545000000097003,2018-05-08 12:45:38,2019-11-11 22:24:22,500.0,0.0,,Box,0.0,0.0,0.0,,0.0,,true,INR,1.000000000,,,,,,,2019-11-11 22:24:22
zcrm_1920545000006882716,zcrm_1920545000000097003,Annual Maintenance Contract,,,true,,,,,,,zcrm_1920545000000097003,zcrm_1920545000000097003,2018-05-08 12:45:38,2019-11-11 22:24:22,20000.0,0.0,,Each,0.0,0.0,0.0,,0.0,,true,INR,1.000000000,,,,,,,2019-11-11 22:24:22
zcrm_1920545000006882717,zcrm_1920545000000097003,InBody Service Charges (L),,,true,,,,,,,zcrm_1920545000000097003,zcrm_1920545000000097003,2018-05-08 12:45:38,2018-05-08 12:45:38,2875.0,0.0,,Each,0.0,0.0,0.0,,0.0,,true,INR,1.000000000,,,,,,,
